Date,Open,Close,Volume,Price_change,date
2010-08-13,1082.219970703125,1079.25,3328890000,-1,2010-08-13
2010-08-16,1077.489990234375,1079.3800048828125,3142450000,1,2010-08-16
2010-08-17,1081.1600341796875,1092.5400390625,3968210000,1,2010-08-17
2010-08-18,1092.0799560546875,1094.1600341796875,3724260000,1,2010-08-18
2010-08-19,1092.43994140625,1075.6300048828125,4290540000,-1,2010-08-19
2010-08-20,1075.6300048828125,1071.68994140625,3761570000,-1,2010-08-20
2010-08-23,1073.3599853515625,1067.3599853515625,3210950000,-1,2010-08-23
2010-08-24,1063.199951171875,1051.8699951171875,4436330000,-1,2010-08-24
2010-08-25,1048.97998046875,1055.3299560546875,4360190000,1,2010-08-25
2010-08-26,1056.280029296875,1047.219970703125,3646710000,-1,2010-08-26
2010-08-27,1049.27001953125,1064.5899658203125,4102460000,1,2010-08-27
2010-08-30,1062.9000244140625,1048.9200439453125,2917990000,-1,2010-08-30
2010-08-31,1046.8800048828125,1049.3299560546875,4038770000,1,2010-08-31
2010-09-01,1049.719970703125,1080.2900390625,4396880000,1,2010-09-01
2010-09-02,1080.6600341796875,1090.0999755859375,3704210000,1,2010-09-02
2010-09-03,1093.6099853515625,1104.510009765625,3534500000,1,2010-09-03
2010-09-07,1102.5999755859375,1091.8399658203125,3107380000,-1,2010-09-07
2010-09-08,1092.3599853515625,1098.8699951171875,3224640000,1,2010-09-08
2010-09-09,1101.1500244140625,1104.1800537109375,3387770000,1,2010-09-09
